Titre du poste,Entreprise,Adresse,Salaire,Decription,date
Business Developer H/F,PayFit,75008 Paris 8e,44 000 € par an,"Avec 5 000 clients dans 5 pays, nous sommes l'une des entreprises SaaS à la croissance la plus rapide en Europe. Tu aimes les défis et dépasser tes objectifs.",Postedil y a 30+ jours
nouveauBusiness Developer H/F,TERRETV PRODUCTION,Télétravail temporaire in 75018 Paris 18e,30 000 € - 36 000 € par an,"Identifiera et contactera des prospects, créera les conditions d’un échange avec les décideurs et le conduira; Type d'emploi : Temps plein, CDI.",Postedil y a 8 jours
International Business Developer H/F,ScoreSales,Télétravail temporaire in 75008 Paris 8e,70 000 € - 200 000 € par an,"La conquête de nouveaux clients en B2B en cycle court / Ouverture d'un marché à l'étranger / Prospection téléphonique, sur salon, gestion des leads entrants /…",Postedil y a 29 jours
nouveauBusiness Developer (H/F),Kazam! Production,75011 Paris 11e,30 000 € - 45 000 € par an,"Kazam! est une agence créative digitale spécialisée dans la production de vidéos, fondée par d’anciens employés de Google.",Postedil y a 7 jours
Business Developer (business dev) B2C,AYOMI,Télétravail in 75008 Paris 8e,60 000 € par an,"Les prospects sont identifiés en amont, votre rôle sera de closer/convaincre les prospects intéressés. Vous serez l’interlocuteur privilégié des dirigeants des…",Postedil y a 30+ jours
nouveauBusiness Developer H/F,Hey-co,75002 Paris 2e,40 000 € - 50 000 € par an,"Spécialisée dans le numérique et l'innovation dans le secteur de la construction. Créé il y 7 ans, l'entreprise est en très forte croissance sur le marché des …",Postedil y a 7 jours
Business Developer H/F,Les Bons Artisans,Paris (75),28 000 € - 33 000 € par an,Nous avons choisi d’allier le savoir-faire de l’artisanat traditionnel et l’efficacité des dernières avancées technologiques..,Postedil y a 8 jours
Business Developer H/F – e-santé – Paris,MYMEDIKS,75009 Paris 9e,2 333 € - 3 166 € par mois,"Aujourd'hui présents dans 4 villes françaises, nous souhaitons déployer notre offre sur tout le territoire. S’appuyer sur les scripts et les argumentaires pour…",Postedil y a 30+ jours
Business Developer - SDR (H/F),Black-belt,Hybrid remote in Paris (75),,"Participer avec le responsable Lead Generation et l’équipe marketing au développement et à la réflexion sur les nouveaux canaux d’acquisition clients, l’enjeu…",Postedil y a 14 jours
nouveauDeveloper FullStack (H/F),Believe,Paris (75),,"Développement des front-end des Produits Marketing à destination de nos clients, les artistes et labels. Collaborer avec le PO et le métier pour construire la…",PostedAujourd'hui
Full Stack JavaScript Developer - CDI ou Freelance - H/F,KONEKT,Paris (75),70 000 € par an,"Frontend Developer, Développeur Frontend, Full Stack Developer / CDI / Environ 70k€ / 3 - 6 ans / Paris. Collaborer avec l'équipe Produit et nos utilisateurs…",Postedil y a 19 jours
nouveauNode.js/Cloud Software Developer - (F/M),SAP,92300 Levallois-Perret,,Join a professional and experienced team to contribute to the development of new SAP Procurement applications.,PostedAujourd'hui
nouveauBusiness Developer H/F - IDF,4 CONNECT,Paris (75),30 000 € - 60 000 € par an,"Développer et animer votre réseau d’apporteurs d’affaires,. Pour réussir dans vos missions, vous devrez vous positionnez en véritable patron de votre business,…",Postedil y a 1 jour
nouveauSenior Business Developer F/H,MOUTON ROUGE,Paris 1er (75),,"Qualités et compétences essentielles de tout business developer (écoute, créativité, maîtrise des méthodes de chasse digitales ou non, excellente communication…",Postedil y a 1 jour
Développeur Back-end - H/F,RED PILL,Paris (75),60 000 € par an,Backend Developer / CDI / Environ 60k€ / 3 - 6 ans / Paris. RedPill est une plateforme d’investissement et de placements de crypto-monnaies.,Postedil y a 20 jours
nouveauCDI Business Developer Junior - Immobilier,La Relève,75001 Paris 1er,,"Notre client révolutionne le processus d'achat immobilier en EMEA en le rendant simple et moderne. Aujourd'hui, il est très facile de commander ses courses ou…",PostedAujourd'hui
nouveauSenior Business Developer F/H,MOUTON ROUGE,Paris 1er (75),,"Qualités et compétences essentielles de tout business developer (écoute, créativité, maîtrise des méthodes de chasse digitales ou non, excellente communication…",Postedil y a 1 jour
